"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-01","3.58"," 1042","0.00","0.0","0.0","58","72","45","  100","  110","8.9","13.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-02","3.80"," 1910","0.00","0.0","0.0","60","77","47","   80","  350","8.1","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-03","4.92"," 1306","0.00","0.0","0.0","63","81","50","   90","  120","8.9","12.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-04","5.82"," 1526","0.00","0.0","0.0","60","73","47","  270","  280","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-05","2.91"," 1425","0.00","0.0","0.0","57","71","45","   80","  220","6.9","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-06","3.58"," 0858","0.00","0.0","0.0","56","72","45","   90","  130","12.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-07","10.29"," 2314","0.00","0.0","0.0","57","69","47","   60","   70","28.0","36.9",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-08","15.43"," 0430","0.00","0.0","0.0","62","68","51","   70","   80","28.0","48.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-09","6.93"," 1535","0.00","0.0","0.0","53","65","43","   40","   20","25.1","38.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-10","3.58"," 1201","0.00","0.0","0.0","54","65","41","   60","   60","15.0","23.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-11","4.70"," 1529","0.00","0.0","0.0","52","64","40","  290","  290","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-12","3.13"," 2149","0.00","0.0","0.0","51","65","37","  270","  360","10.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-13","4.70"," 1739","0.00","0.0","0.0","50","62","37","  290","  320","10.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-14","3.80"," 1513","0.00","0.0","0.0","51","66","37","   60","  330","10.1","17.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-15","8.28"," 1153","0.00","0.0","0.0","55","72","40","   70","   40","21.9","28.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-16","8.95"," 0619","0.00","0.0","0.0","65","76","53","   70","   70","16.1","21.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-17","3.58"," 1758","0.00","0.0","0.0","60","68","49","  300","  300","10.1","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-18","4.47"," 1558","0.00","0.0","0.0","54","67","42","  270","  240","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-19","3.80"," 1821","0.00","0.0","0.0","54","67","42","  280","  270","8.1","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-20","8.95"," 2344","0.00","0.0","0.0","53","67","39","   50","   70","30.0","47.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-21","8.50"," 0118","0.00","0.0","0.0","52","61","41","   50","   60","32.0","40.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-22","2.68"," 1633","0.00","0.0","0.0","49","63","38","   60","  300","8.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-23","7.16"," 1113","0.00","0.0","0.0","52","65","37","   70","   80","23.0","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-24","8.72"," 1045","0.00","0.0","0.0","56","69","43","   70","   70","21.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-25","4.92"," 1530","0.00","0.0","0.0","56","70","47","   80","  340","12.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-26","6.71"," 1717","0.00","0.0",,"56","71","43","   90","  330","14.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-27","7.83"," 1939","0.00","0.0","0.0","55","62","46","  330","  330","18.1","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-28","6.49"," 1610","0.00","0.0","0.0","53","62","44","  280","  280","16.1","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-29","3.58"," 1633","0.01","0.0","0.0","51","59","45","  140","  320","13.0","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-30","6.04"," 1739","0.00","0.0","0.0","51","63","42","  260","  270","13.0","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-01-31","3.58"," 1843","0.00","0.0","0.0","54","69","42","  310","  330","12.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-01","4.70",,"0.00","0.0","0.0","58","74","47","  120","  340","10.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-02","4.47",,"0.00","0.0","0.0","64","82","51","  110","  110","10.1","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-03","3.58",,"0.00","0.0","0.0","68","86","53","   90","   90","12.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-04","6.04",,"0.00","0.0","0.0","70","86","56","  120","  110","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-05","4.92",,"0.00","0.0","0.0","68","81","54","   90","  340","14.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-06","4.25",,"0.00","0.0","0.0","66","80","53","  320","  330","8.9","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-07","5.14",,"0.00","0.0","0.0","66","79","53","  300","  310","12.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-08","4.92",,"0.00","0.0","0.0","67","79","55","  300","  300","10.1","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-09","3.58",,"0.00","0.0","0.0","66","77","55","  260","  330","8.9","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-10","4.47",,"0.00","0.0","0.0","66","79","54","  270","  320","13.0","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-11","10.07",,"0.00","0.0","0.0","63","71","52","  270","  270","21.9","28.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-12","4.70",,"0.00","0.0","0.0","58","63","53","  320","  360","13.0","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-13","6.04",,"0.00","0.0","0.0","58","72","49","   90","   90","18.1","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-14","8.50",,"0.02","0.0","0.0","63","72","57","  280","  280","23.9","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-15","4.92",,"0.00","0.0","0.0","61","72","49","  270","  310","15.0","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-16","4.92",,"0.00","0.0","0.0","63","75","50","   70","   30","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-17","4.92",,"0.00","0.0","0.0","64","77","52","  290","  310","10.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-18","5.82",,"0.00","0.0","0.0","64","78","51","   80","  310","12.1","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-19","4.70",,"0.00","0.0","0.0","65","79","52","  310","  320","10.1","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-20","5.14",,"0.00","0.0","0.0","66","79","51","  280","  300","15.0","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-21","4.92",,"0.00","0.0","0.0","66","78","51","  260","  280","12.1","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-22","3.58",,"0.00","0.0","0.0","65","80","51","  270","  320","13.0","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-23","4.47",,"0.00","0.0","0.0","67","82","52","  300","  310","10.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-24","4.92",,"0.00","0.0","0.0","68","86","53","  280","  290","14.1","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-25","5.82",,"0.00","0.0","0.0","72","90","57","  280","  310","14.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-26","6.49",,"0.00","0.0","0.0","74","89","59","  290","  320","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-27","8.05",,"0.00","0.0",,"74","84","57","   60","   50","19.9","25.9",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-02-28","6.26",,"0.00","0.0",,"70","82","55","  210","  160","14.1","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-03-01","10.96",,"0.00","0.0","0.0","70","85","58","  220","  210","35.1","45.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-03-02","8.50",,"0.00","0.0","0.0","66","80","55","  260","  260","23.0","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-03-03","11.18",,"0.00","0.0","0.0","63","67","52","  280","  280","30.0","35.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-03-04","4.70",,"0.00","0.0","0.0","59","73","49","  300","  350","13.0","21.0",,,,
